seed,scale,detail,roughness,lacunarity,distortion,instance_scale,color_0_r,color_0_g,color_0_b,color_1_r,color_1_g,color_1_b,color_2_r,color_2_g,color_2_b,valid,light_altitude,light_azimuth,camera_dist,camera_azimuth,camera_polar,camera_target,camera_scale,offset_x,offset_y,offset_z
10,-0.034385485779426,11.299527970627151,0.8271039370247955,1.8668769417031628,0.5799787797449092,13.455802110439375,0.8284448852745308,0.6563919519499051,0.7018121614675255,0.1359196040205066,0.1286493669896121,0.0662194036145609,0.1154111080656231,0.0673377671649381,0.4255089974049766,False,0.3114811150942579,5.695888160944528,200.0,1.4207188874050238,0.944739568188698,"<Vector (0.0000, 0.0000, 0.0000)>",66.75814386385485,913851.0930547256,650665.1621037838,-323569.05148747296
1,-0.0736454087001667,11.826430551426064,0.303194829291645,0.906995778961303,0.536166788988659,10.031129864471293,0.0071411343532153,0.1344409265501454,0.1441596127196337,0.4233264489725756,0.2913199477150147,0.3319915886413379,0.5419957954020843,0.324700425323301,0.5495936876730595,False,0.3627641925409197,1.6481633265414255,200.0,4.714680286095766,0.5448280935302394,"<Vector (0.0000, 0.0000, 0.0000)>",88.2229169317962,-944880.8286320898,507025.7103233959,76286.55015192996
0,-0.2325030774638834,0.5037836295819653,0.7296554464299441,0.351311241205118,3.4527156893995463,11.414612202490918,0.0299194115621234,0.0318895846406321,0.0409735239361946,0.9127555772777216,0.2440510942603687,0.1704386306136862,0.1470524297264414,0.2898920548513382,0.5436249914654229,False,0.4397695124299078,2.6558221377616955,200.0,0.1779377416453305,0.4358319456022212,"<Vector (0.0000, 0.0000, 0.0000)>",110.47492976323564,870143.9774306889,631706.4765359561,-994522.0051367042
20,-0.0639970439220445,1.1001310132745643,0.0525855711224931,1.6149502567089378,3.253221343158732,6.049716124594179,0.0835252772821982,0.1217196925764418,0.0655890568265901,0.0423269076696276,0.0676632844181544,0.0716395472046649,0.6940678823575867,0.4160032728059015,0.0095168061852579,False,0.464044275277998,0.5597492285208141,200.0,2.9401971355627534,0.7802944435897572,"<Vector (0.0000, 0.0000, 0.0000)>",96.12576755433066,-102622.9768506831,280353.3368259068,-459021.8280687183
2,-0.0328823904057962,10.039459478617804,0.4227846732701278,1.2663687985482328,3.8697438099747066,12.830648223096253,0.6757729334606377,0.8142257405942803,0.5711865682870823,0.7285605268117946,0.532470140610141,0.2913509714742227,0.2730374233718987,0.2749693679060381,0.2598057346461145,False,0.5132998664640209,1.1765425947969412,200.0,2.173734970782384,0.7058572077468432,"<Vector (0.0000, 0.0000, 0.0000)>",136.9451291400695,314865.71488515544,124531.2010295305,-699874.7735138544
3,-0.028128741815135,8.80197857157211,0.7378377872921602,1.912534509672197,1.1368046549951658,12.48547207079825,0.8012744652063969,0.7090359389315207,0.6115242531783511,0.392357289434276,0.4130286351192226,0.4331269402364738,0.6172365945259097,0.7345771514092145,0.7198283573563934,False,0.7569727973361244,1.8392187093018624,200.0,0.00936247080919,1.0286693276805687,"<Vector (0.0000, 0.0000, 0.0000)>",65.80814676202507,-772655.1875012331,-217543.40146505693,33480.331762362155
4,0.0316645016471902,11.834200763164942,0.9841529999311214,0.7394515853048576,3.87573147726494,15.290263877654194,0.976243705707704,0.47706340071776,0.6476150242439642,0.3764865843772725,0.2587296945573816,0.1478252616878472,0.842945676135457,0.7195106733095833,0.8716352741876564,False,0.3421540686095848,3.825527533210197,200.0,4.428795812881268,1.0072669864276702,"<Vector (0.0000, 0.0000, 0.0000)>",109.8788900358904,87882.71364419488,804429.3550018172,-45692.90662863513
5,-0.0958265205436088,14.61279289888883,0.8976776081085488,1.688462075217482,1.5696186573391129,10.930230187317424,0.4445529329658831,0.098973020282352,0.515325561042142,0.3685899672496603,0.3833688807855182,0.3626935277734857,0.0465501959197561,0.048757710727168,0.0475454302013062,False,0.741351481464853,0.3820347126947157,200.0,3.4909133585623207,0.5385748207537389,"<Vector (0.0000, 0.0000, 0.0000)>",135.55814080019064,998351.2317779128,304737.9184377522,-530979.0656807554
6,0.0178737687570504,14.68151343277945,0.8270030258190536,1.5704219186527428,0.192333948010186,8.074392662069748,0.2423772073712108,0.3400569822428114,0.3690672397953782,0.0079442612121575,0.6327562726071461,0.1622607026294743,0.4658770303940979,0.4555696803087422,0.6799176611640223,False,0.8798925048761694,2.717445046022292,200.0,3.942497301769488,0.4344350694583906,"<Vector (0.0000, 0.0000, 0.0000)>",52.36035824133954,-754054.4961703697,-896540.6394909136,700381.9932348805
7,0.0105414248997898,6.676144588239699,0.5045482589579533,1.106994704148985,3.98200113373757,13.92661919213753,0.0797297837425946,0.2533201170838938,0.7756856902451935,0.7814535277334602,0.8735534453962619,0.611342153020265,0.7970694287520462,0.1631726165396635,0.1424933624367483,False,0.6977433835529301,6.2138198693009725,200.0,1.3528244492618786,0.4609149500843067,"<Vector (0.0000, 0.0000, 0.0000)>",103.50475251276367,-64130.030182464165,-393934.7524262266,-443148.3326496775
